Protein.Accession.	GN	GN	Pr0B_0h1	ProB_0h2	Pr0B_1h1	Pr0B_1h2	Pr0B_4h1	Pr0B_4h2	Pr0B_16h1	Pr0B_16h2
sp|Q60773|CDN2D_MOUSE	Cdkn2d	Cdkn2d	61496.06466	60805.66841	58383.27701	55254.00924	62028.06674	67072.07152	50978.3861	48385.86088
sp|P28033|CEBPB_MOUSE	Cebpb	Cebpb	50766.35189	50201.19304	48915.23288	56067.40275	51121.94266	50796.86671	42791.6195	37098.31523
tr|E9Q2Z1|E9Q2Z1_MOUSE	Cecr2	Cecr2	383625.3151	394631.7974	397630.2226	400219.1127	408535.1737	382295.3085	324661.0528	319902.5152
sp|P23953|EST1C_MOUSE	Ces1c	Ces1c	66573.62287	70162.15647	69783.99012	67395.84778	47420.16624	48606.70001	32632.04113	25593.24518
tr|E9PV38|E9PV38_MOUSE	Ces2g	Ces2g	118346.9565	121671.6721	106171.6454	103379.3234	91990.93365	92721.73553	67116.2556	60412.09301
sp|Q8BJ64|CHDH_MOUSE	Chdh	Chdh	321499.7277	344254.1522	327887.4346	325470.5968	314889.1255	301774.5905	234293.9296	225648.9782
sp|O35744|CHIL3_MOUSE	Chil3	Chil3	1133135.643	1027842.278	1120722.291	997207.5361	1106447.211	931523.1322	757579.549	709498.9433
sp|P60824|CIRBP_MOUSE	Cirbp	Cirbp	191760.6316	186463.2949	215210.801	182041.8213	190157.0616	199651.6016	157356.5274	148840.911
sp|Q7TS74|CKP2L_MOUSE	Ckap2l	Ckap2l	101123.1098	93675.84267	102568.2629	97657.58763	104665.8227	112692.7736	80741.67412	78086.33606
sp|Q9QZ15|CLC4A_MOUSE	Clec4a	Clec4a	182340.0272	162343.8278	174745.608	171224.1212	165635.8275	141951.8918	135012.8071	121696.8407
sp|Q80YR7|CLSPN_MOUSE	Clspn	Clspn	215700.3931	218816.7815	208646.6541	219404.3053	215724.6483	198831.5993	179249.0205	177299.3793
sp|Q61419|CMAH_MOUSE	Cmah	Cmah	53619.38197	56414.02528	54092.54815	56070.17025	53664.18994	53380.23366	42430.53474	44092.36466
sp|Q3U5Q7|CMPK2_MOUSE	Cmpk2	Cmpk2	235814.674	243712.4826	243754.0121	232785.6498	229043.08	228102.158	187594.7022	196909.2842
sp|Q08091|CNN1_MOUSE	Cnn1	Cnn1	486778.5665	455864.4022	475510.2387	485339.0374	436015.0476	436037.6363	359332.9531	358465.9398
sp|Q08093|CNN2_MOUSE	Cnn2	Cnn2	542442.6047	508890.608	524537.0559	536035.6399	492259.2328	484629.8223	384846.1556	401144.1215
sp|Q9DAW9|CNN3_MOUSE	Cnn3	Cnn3	1072473.664	1089322.882	1067721.464	1042541.693	1029016.846	1045224.655	866566.8484	857256.0884
sp|Q9D2V7|CORO7_MOUSE	Coro7	Coro7	2404510.941	2383874.738	2364624.004	2400783.653	2448168.726	2183910.253	1949217.136	1947319.921
sp|Q9CQI6|COTL1_MOUSE	Cotl1	Cotl1	2662892.596	2783421.914	2823403.28	2729162.505	2687953.37	2694830.234	1997983.89	2025749.045
sp|P63254|CRIP1_MOUSE	Crip1	Crip1	3580497.899	3561760.921	3843952.372	3562324.302	3683790.664	3713026.188	2919902.084	2916093.707
sp|Q99KP3|CRYL1_MOUSE	Cryl1	Cryl1	118980.9206	115529.0132	116642.1887	109936.0314	107472.9168	112768.1275	91350.00643	90214.51293
sp|P97315|CSRP1_MOUSE	Csrp1	Csrp1	1338218.469	1422724.962	1354439.038	1304784.312	1337567.317	1240088.068	987918.2647	985040.7412
sp|Q8R242|DIAC_MOUSE	Ctbs	Ctbs	31720.4184	35365.16642	32570.48946	33892.01095	32278.21481	33811.57944	27547.08458	26888.20543
sp|P16675|PPGB_MOUSE	Ctsa	Ctsa	191796.4378	212655.7958	186983.7719	197073.951	176633.2732	181927.6387	162768.8981	162566.1375
sp|P10605|CATB_MOUSE	Ctsb	Ctsb	631462.4452	591730.8473	618484.3438	592150.6642	568009.0537	542635.1734	389620.1809	351295.5559
sp|P18242|CATD_MOUSE	Ctsd	Ctsd	330525.932	336569.7847	333625.8198	338990.4324	324777.1481	325914.6099	221313.3801	217987.5705
sp|P28293|CATG_MOUSE	Ctsg	Ctsg	4576362.964	4520396.558	4840863.185	4326759.317	4195438.425	4506481.039	2777690.235	2787651.437
sp|P49935|CATH_MOUSE	Ctsh	Ctsh	181742.3131	184524.97	185310.497	203259.5821	164268.5967	160341.2877	87992.73841	87535.78397
sp|P56203|CATW_MOUSE	Ctsw	Ctsw	33304.63938	30948.52238	41098.24734	33648.31289	30953.45649	33212.82708	25169.75093	22557.88346
sp|Q9WUU7|CATZ_MOUSE	Ctsz	Ctsz	572420.4348	580298.8483	597467.7972	578549.009	497867.2287	539414.6916	413566.1839	420615.8674
sp|Q9D8X1|CUTC_MOUSE	Cutc	Cutc	168168.1933	165477.5629	169142.5009	167172.914	170358.3563	162719.2478	135233.913	132481.706
sp|P56395|CYB5_MOUSE	Cyb5a	Cyb5a	86793.05167	88151.08888	90937.06555	84649.34005	85255.19402	85615.19627	64140.74409	67945.39852
sp|Q61093|CY24B_MOUSE	Cybb	Cybb	259410.3579	236604.8301	258863.7956	248941.8537	251054.2409	248429.8595	210353.4698	197618.0158
sp|Q99N16|CP4F3_MOUSE	Cyp4f3	Cyp4f3	31272.87791	30373.55195	30719.65663	33772.64308	30278.67975	32912.92169	26707.69205	26125.3443
sp|Q6PGN3|DCLK2_MOUSE	Dclk2	Dclk2	40760.0836	33379.07049	39622.59447	29447.5433	29361.17126	29874.30107	21598.92666	23260.14645
sp|Q91X52|DCXR_MOUSE	Dcxr	Dcxr	137050.6723	130293.7576	125865.544	129959.3845	125695.2434	133029.6871	101572.814	102322.3189
sp|Q6Q899|DDX58_MOUSE	Ddx58	Ddx58	273865.9766	270001.276	277554.7543	277063.4887	260549.5234	259703.5465	220769.4178	230815.3395
sp|Q8C2K1|DEFI6_MOUSE	Def6	Def6	380096.6831	373096.9291	379773.82	377297.7994	370013.9198	357968.7791	300712.2575	287096.5941
sp|Q8K4R9|DLGP5_MOUSE	Dlgap5	Dlgap5	218861.9693	206201.9128	219474.7416	208124.5547	189336.5954	207838.6875	172084.7945	150057.9626
tr|E9QQ48|E9QQ48_MOUSE	Dlgap5	Dlgap5	132234.1774	125473.1866	129212.2441	122593.9306	114623.2347	123337.4245	104245.1003	87464.7755
sp|Q91WN1|DNJC9_MOUSE	Dnajc9	Dnajc9	9872469.877	9438814.892	10135068.4	9686206.437	9134069.84	9608811.39	8166859.967	7930274.039
tr|D3Z512|D3Z512_MOUSE	Dnase2a	Dnase2a	142807.8223	144267.1024	144212.5206	131854.5819	136397.0191	134762.0225	103642.3567	103955.4572
sp|Q80VJ3|DNPH1_MOUSE	Dnph1	Dnph1	64633.66991	62644.93942	64626.18102	64397.90479	62799.05808	62213.34299	50110.51033	55451.68041
sp|B2RY04|DOCK5_MOUSE	Dock5	Dock5	153041.7521	150278.9203	148055.7043	163645.4585	137353.3412	134102.9306	127584.5005	124726.7322
sp|P31428|DPEP1_MOUSE	Dpep1	Dpep1	24943.34156	25903.54806	28399.29883	25090.83582	24308.32643	26483.54098	19154.83091	20392.89435
sp|P56931|E2F2_MOUSE	E2f2	E2f2	123812.3087	124414.1033	118505.6288	116492.4476	104485.9113	98508.01621	89050.59744	89731.9548
sp|Q58FA4|E2F8_MOUSE	E2f8	E2f8	137290.7356	128455.6053	136890.6648	138423.9795	127429.5561	136681.8865	114542.511	101978.1489
sp|P97426|ECP1_MOUSE	Ear1	Ear1	352695.4259	354397.9517	344559.8249	354644.8643	313810.1542	285912.6883	118586.8406	117561.585
tr|Q923L6|Q923L6_MOUSE	Ear10	Ear10	98742.20831	78381.39667	101532.4757	97230.43059	87377.98947	84657.14352	41842.98053	41960.90286
sp|P97425|ECP2_MOUSE	Ear2	Ear2	153864.9605	139576.3592	153917.063	154385.5659	127595.9436	142624.8793	76019.02072	75221.90277
tr|Q923L7|Q923L7_MOUSE	Ear6	Ear6	956360.1626	989070.6968	882231.6363	917545.6363	880539.77	903419.0563	469137.7568	463675.6565
sp|Q9D0P0|EBPL_MOUSE	Ebpl	Ebpl	73936.71009	79691.22369	80851.12289	80259.00332	69680.17999	67404.38413	60118.18776	58698.60553
sp|Q3UP87|ELNE_MOUSE	Elane	Elane	1665492.215	1543968.577	1575204.612	1515350.714	1358484.025	1465184.171	889020.8444	777647.5063
sp|Q60775|ELF1_MOUSE	Elf1	Elf1	505263.42	498706.9282	512471.9195	476368.8757	511057.8879	501609.2649	424471.8485	405082.26
sp|Q7TNG5|EMAL2_MOUSE	Eml2	Eml2	96878.22421	91953.47909	93359.86083	92150.11846	92021.70584	85926.15687	71160.12972	74004.09891
sp|Q61549|EMR1_MOUSE	Emr1	Emr1	53302.62859	56236.79674	55319.94724	54031.91746	44713.08164	40538.53184	31757.29209	30773.75263
sp|Q8VDI1|ESIP1_MOUSE	Epsti1	Epsti1	64265.18128	65417.77089	65357.9671	65889.3046	57537.8798	57838.77995	51362.17015	49326.44041
sp|P49290|PERE_MOUSE	Epx	Epx	1109305.927	1098960.651	1122180.284	1173496.469	1122794.577	1119994.316	852052.228	795017.4328
sp|Q8BH61|F13A_MOUSE	F13a1	F13a1	464403.0076	436756.9667	468429.325	485141.5772	429017.5945	422798.7102	311222.6965	311571.2348
sp|O88783|FA5_MOUSE	F5	F5	120055.4574	122192.3491	125933.8348	127414.1721	133697.8519	135519.3618	114613.8695	96990.62067
sp|P04117|FABP4_MOUSE	Fabp4	Fabp4	145250.7553	156196.8897	157544.9866	147478.5437	129614.8193	122249.3382	57713.335	55811.305
sp|Q3TVP5|F105A_MOUSE	Fam105a	Fam105a	48818.79754	44778.8895	46753.1727	43716.14513	43221.31542	44552.95092	38898.93645	36759.14678
sp|Q3UW53|NIBAN_MOUSE	Fam129a	Fam129a	1109358.292	1120105.134	1106863.962	1135625.674	1005227.051	977782.6158	761763.9873	755571.5843
sp|Q9WTJ8|FA50B_MOUSE	Fam50b	Fam50b	517866.1374	482185.4358	504594.2917	572517.9616	538370.7336	535688.8418	392392.127	433626.1903
sp|Q80V62|FACD2_MOUSE	Fancd2	Fancd2	769124.0661	763097.6615	791819.4993	824207.3651	750707.6036	734974.5403	672354.1964	633578.7398
sp|Q9EPX5|FXL12_MOUSE	Fbxl12	Fbxl12	63164.76288	59088.9323	59167.64363	52308.75382	55578.90998	53782.85871	36881.19906	35262.73879
sp|P20491|FCERG_MOUSE	Fcer1g	Fcer1g	55230.74893	62866.63095	56825.58655	69500.02325	53152.8924	58785.45909	32168.01448	38004.6145
sp|Q61559|FCGRN_MOUSE	Fcgrt	Fcgrt	120892.7598	127425.9956	133863.6211	120421.4309	101544.8262	97449.2992	70760.43517	65913.56492
sp|O70165|FCN1_MOUSE	Fcn1	Fcn1	28407.71419	33043.61507	32076.41259	31543.22174	32861.20788	29340.09293	16420.4586	19338.54738
sp|P16879|FES_MOUSE	Fes	Fes	149262.6449	160738.323	162242.0184	160383.4465	144360.5971	135591.8472	134709.301	120677.3913
sp|E9PV24|FIBA_MOUSE	Fga	Fga	187394.828	236543.7522	235230.344	216771.4796	180211.4522	179828.676	142513.9037	112009.7785
sp|Q8BY35|FGD2_MOUSE	Fgd2	Fgd2	43343.25077	41534.60288	43335.92714	41215.08729	40435.55352	39259.24832	33684.32876	35307.65266
sp|O89106|FHIT_MOUSE	Fhit	Fhit	106041.6707	107925.5403	111966.6295	103808.9502	105216.3039	113372.2593	88058.22051	85443.78283
sp|Q9JL04|FMN2_MOUSE	Fmn2	Fmn2	16678.19568	15171.76857	15703.13544	14984.65128	17376.43844	17551.04328	14369.92917	12801.04138
sp|P09528|FRIH_MOUSE	Fth1	Fth1	491273.1545	553912.3962	588235.9494	583756.8668	516380.7377	455913.8401	308124.5417	353915.3426
sp|P29391|FRIL1_MOUSE	Ftl1	Ftl1	1281777.234	1332611.705	1366265.223	1479840.052	1283307.311	1210615.536	784690.2017	758411.6341
sp|O35601|FYB_MOUSE	Fyb	Fyb	68576.63578	65137.21966	67556.33865	67344.19025	59938.33342	53875.15633	42875.03534	37959.6037
sp|Q3UWW6|GA2L3_MOUSE	Gas2l3	Gas2l3	30122.81799	27989.4712	33000.7273	28059.20727	33345.21984	33080.96203	24788.71042	23070.91032
sp|Q60780|GAS7_MOUSE	Gas7	Gas7	222942.7316	217684.7656	225677.038	220166.3347	212657.5558	209326.4902	185244.2402	178706.3546
sp|Q9D964|GATM_MOUSE	Gatm	Gatm	53125.7057	59683.73369	58374.1048	60456.70453	51230.44809	59366.43005	43352.87619	45744.62005
tr|Q8BTS3|Q8BTS3_MOUSE	Gbp9	Gbp9	148030.6691	160831.4107	151321.7279	163567.5708	139851.082	150192.8522	128942.9786	129290.1624
sp|Q9R111|GUAD_MOUSE	Gda	Gda	240918.0598	251867.6765	242450.7263	230657.211	235560.5383	235548.4054	182105.2816	172893.2548
sp|O08842|GFRA2_MOUSE	Gfra2	Gfra2	82141.92973	85377.19238	88066.36632	90798.10892	81840.27486	82371.99158	60048.21082	62513.79388
sp|Q9QYC7|VKGC_MOUSE	Ggcx	Ggcx	58082.92752	66568.25869	57051.17028	56392.84587	54544.43387	55056.56378	50616.58554	47769.3561
sp|Q9Z0L8|GGH_MOUSE	Ggh	Ggh	48183.71866	47826.88964	49039.69038	49680.30465	52751.65148	57882.54236	44156.41359	38633.93478
tr|Q8R379|Q8R379_MOUSE	Gimap7	Gimap7	198252.4102	178974.7042	201004.4715	183604.3635	195101.7618	213360.1191	146853.0659	141408.8287
sp|Q75N62|GIMA8_MOUSE	Gimap8	Gimap8	238101.8872	240018.1567	259246.1718	251650.4461	240990.8942	245512.5572	197855.786	193247.4739
tr|G3X987|G3X987_MOUSE	Gimap9	Gimap9	489232.2997	449744.1967	509930.8727	484528.6773	475352.2158	500005.5593	394913.6803	400328.6023
sp|Q9JL62|GLTP_MOUSE	Gltp	Gltp	736817.1418	751295.2003	775816.7561	746710.064	689182.6706	694302.6344	590685.2863	566003.116
sp|Q60648|SAP3_MOUSE	Gm2a	Gm2a	662258.8535	658733.6804	675443.8093	672883.8362	642070.9318	705179.5393	534773.6257	559642.6741
sp|Q8BRM2|GORAB_MOUSE	Gorab	Gorab	50256.1854	55583.88832	56729.90509	60011.81529	50276.4237	52007.59521	49001.87592	44655.09837
sp|P13707|GPDA_MOUSE	Gpd1	Gpd1	528849.8288	542659.4604	538972.3847	519030.0384	495952.5972	508846.8671	353978.6814	328641.6285
sp|O89100|GRAP2_MOUSE	Grap2	Grap2	29620.03983	32522.6704	35077.68335	33446.50677	31018.75927	30128.79118	27769.71615	25149.0238
sp|P13020|GELS_MOUSE	Gsn	Gsn	3425342.691	3605220.129	3267875.546	3478286.912	3280229.329	2964872.203	2451212.859	2266158.611
sp|P47791|GSHR_MOUSE	Gsr	Gsr	277008.4865	270642.9552	271484.4875	267214.8352	268656.4463	262269.4205	219223.22	225162.4069
sp|P10649|GSTM1_MOUSE	Gstm1	Gstm1	1045018.796	1030096.139	1029874.456	1004709.512	1014505.503	971282.9762	820133.1289	755247.1609
sp|P11032|GRAA_MOUSE	Gzma	Gzma	166345.0257	178633.4126	178723.3379	188176.0544	152868.6048	189033.6976	106113.2966	111154.6995
tr|O35424|O35424_MOUSE	H2-Ob	H2-Ob	60903.79598	57979.71294	56784.65302	61994.66422	59120.50203	64800.59682	48240.2452	49206.17146
sp|Q78JT3|3HAO_MOUSE	Haao	Haao	332522.0257	351250.0804	317860.0768	329398.6302	306078.7858	313631.3913	199996.3341	218257.4237
sp|Q9QXE0|HACL1_MOUSE	Hacl1	Hacl1	31587.4142	35603.41161	30519.83178	32232.65305	31728.61728	30148.72059	25755.92601	25711.07248
tr|Q91VB8|Q91VB8_MOUSE	haemaglobin	haemaglobin	2815668.639	2952760.249	2969998.785	2875620.594	2698225.194	2823905.617	2251804.003	1783397.044
sp|P02088|HBB1_MOUSE	Hbb-b1	Hbb-b1	2052897.62	1957401.351	2197913.487	2118642.827	1964761.656	1872640.274	1386600.063	1330231.897
tr|A8DUK4|A8DUK4_MOUSE	Hbbt1	Hbbt1	2773206.949	2765950.275	3066242.098	2832161.471	2684964.979	2534779.812	1857011.334	1736451.77
sp|Q8R316|HBP1_MOUSE	Hbp1	Hbp1	20059.36297	19218.62165	20202.63831	19202.64336	16863.28099	17746.37612	13220.70316	13836.47743
sp|Q9JMG7|HDGR3_MOUSE	Hdgfrp3	Hdgfrp3	27214.52962	25248.62688	31088.89006	32452.79443	29255.11969	27740.74899	20368.0135	24933.11438
